lambda_A, Ft_raw, Fc_anchored, A_t, A_c, pre_extract_ratio_r, epsilon
3.710000000000000000e+03,7.309000000000000000e+06,2.571442283224650964e+04,9.986138734048595200e-01,8.364054012605702804e-01,3.518186185832057611e-03,2.946714447734546938e-03
3.730000000000000000e+03,5.799000000000000000e+06,1.139303961424013869e+04,9.986220632702431654e-01,8.367283751908735079e-01,1.964655908646342243e-03,1.646151639057009128e-03
3.750000000000000000e+03,6.437000000000000000e+06,1.399500436433583127e+04,9.986301981529366323e-01,8.370551545910953628e-01,2.174150126508595827e-03,1.822379869560276922e-03
3.770000000000000000e+03,7.464000000000000000e+06,2.568722459444063134e+04,9.986382784643990096e-01,8.373856770207722677e-01,3.441482394753567989e-03,2.885777690714187629e-03
3.790000000000000000e+03,7.882000000000000000e+06,2.675702194813851020e+04,9.986443031312417506e-01,8.373872781026707734e-01,3.394699562057664453e-03,2.846537267908703581e-03
3.810000000000000000e+03,7.975000000000000000e+06,2.237206160854635164e+04,9.986522889229976219e-01,8.377256715633636386e-01,2.805274182889824774e-03,2.353221661680833781e-03
3.830000000000000000e+03,5.203000000000000000e+06,9.966643142642964449e+03,9.986602212577360138e-01,8.380676311377818211e-01,1.915557013769549110e-03,1.607520050030002796e-03
3.850000000000000000e+03,7.028000000000000000e+06,1.475655502290042386e+04,9.986661356677470902e-01,8.380816638576508160e-01,2.099680566718899275e-03,1.762054124072950359e-03
3.870000000000000000e+03,6.959000000000000000e+06,1.474144489078604602e+04,9.986739754107498701e-01,8.384311659383738569e-01,2.118328048683150878e-03,1.778430498268350739e-03
3.890000000000000000e+03,7.194000000000000000e+06,2.127506601704259447e+04,9.986817627860560265e-01,8.387840622777785748e-01,2.957334725749596101e-03,2.483839524474013103e-03
3.910000000000000000e+03,8.360000000000000000e+06,2.998454616776940384e+04,9.986875691860017668e-01,8.388100912791729424e-01,3.586668201886292293e-03,3.012487162791569612e-03
3.930000000000000000e+03,4.557000000000000000e+06,1.212437000857597741e+04,9.986952658545102945e-01,8.391702108486707168e-01,2.660603469075263974e-03,2.235616058736632911e-03
3.950000000000000000e+03,7.500000000000000000e+06,2.534875763507858937e+04,9.987010046676054742e-01,8.392040204668252956e-01,3.379834351343812080e-03,2.840059800584291815e-03
3.970000000000000000e+03,5.157000000000000000e+06,1.712884576485758589e+04,9.987086118068912999e-01,8.394384083970792831e-01,3.321474842904321469e-03,2.791778825872044331e-03
3.990000000000000000e+03,9.730000000000000000e+06,4.581392057079058577e+04,9.987142839100127123e-01,8.398143841253679076e-01,4.708522155271385734e-03,3.959375266456269596e-03
4.010000000000000000e+03,1.035000000000000000e+07,5.321788530683523277e+04,9.987218026809046023e-01,8.398639732001988989e-01,5.141824667327075243e-03,4.323960168895866867e-03
4.030000000000000000e+03,1.031000000000000000e+07,4.696229061148322216e+04,9.987292714704048002e-01,8.402450132650196579e-01,4.555023337680234527e-03,3.832205337445161644e-03
4.050000000000000000e+03,9.966000000000000000e+06,4.496775317238547723e+04,9.987348404853051420e-01,8.403001421410069005e-01,4.512116513384053194e-03,3.796335117047707538e-03
4.070000000000000000e+03,9.728000000000000000e+06,4.103911882264749875e+04,9.987422226973562411e-01,8.406861003655297093e-01,4.218659418446494939e-03,3.551034746168727288e-03
4.090000000000000000e+03,1.069000000000000000e+07,5.775092494114828878e+04,9.987477272003402184e-01,8.407466452451688443e-01,5.402331612829587223e-03,4.547687124876243804e-03
4.110000000000000000e+03,1.008000000000000000e+07,5.010519809127360350e+04,9.987532043111246871e-01,8.411373782038040758e-01,4.970753778896191098e-03,4.186306269887000650e-03
4.130000000000000000e+03,1.063000000000000000e+07,4.841286329446340096e+04,9.987604647781878064e-01,8.412032176184697230e-01,4.554361551689877635e-03,3.835898322557471964e-03
4.150000000000000000e+03,1.074000000000000000e+07,4.433312762358165492e+04,9.987658785637756331e-01,8.415985845673519261e-01,4.127851734039260020e-03,3.478286804978691048e-03
4.170000000000000000e+03,1.076000000000000000e+07,4.662986770496693498e+04,9.987730551433851023e-01,8.416695993163704204e-01,4.333630827599157381e-03,3.651966083252832559e-03
4.190000000000000000e+03,1.028000000000000000e+07,4.517929502198675618e+04,9.987784064202214207e-01,8.420694621264942503e-01,4.394873056613497406e-03,3.705314779642619478e-03
4.210000000000000000e+03,1.037000000000000000e+07,4.614634347730687296e+04,9.987855001932512966e-01,8.421455352185179821e-01,4.449984906201241361e-03,3.752091835356114510e-03
4.230000000000000000e+03,9.864000000000000000e+06,4.019295142424239748e+04,9.987907897662446910e-01,8.422241171066536802e-01,4.074711214947525882e-03,3.435974871451244993e-03
4.250000000000000000e+03,1.007000000000000000e+07,4.865462540829343197e+04,9.987960531383124341e-01,8.426307749079996468e-01,4.831641053455157202e-03,4.076196969499271475e-03
4.270000000000000000e+03,9.484000000000000000e+06,4.397048445283660840e+04,9.988030304610020504e-01,8.427142484575187442e-01,4.636280520121953755e-03,3.911741890039606082e-03
4.290000000000000000e+03,8.704000000000000000e+06,4.055559459498744400e+04,9.988082332594303558e-01,8.431250725551113767e-01,4.659420334902049723e-03,3.933161519012699260e-03
4.310000000000000000e+03,7.341000000000000000e+06,3.783577081439961330e+04,9.988134103364156857e-01,8.432133259732040864e-01,5.154034983571667734e-03,4.351113967538673515e-03
4.330000000000000000e+03,1.005000000000000000e+07,5.844599101840962248e+04,9.988202733398355848e-01,8.433039626231713104e-01,5.815521494369116536e-03,4.910044831712276868e-03
4.350000000000000000e+03,9.478000000000000000e+06,5.953392053064475476e+04,9.988253909507032180e-01,8.437211103216937236e-01,6.281274586478661527e-03,5.305876298654062587e-03
4.370000000000000000e+03,1.070000000000000000e+07,6.415762095764406695e+04,9.988304833099947988e-01,8.438163675120844420e-01,5.996039341835893675e-03,5.065480300642006758e-03
4.390000000000000000e+03,9.850000000000000000e+06,5.391295138409657375e+04,9.988372340824813733e-01,8.439139361533694039e-01,5.473396079603712674e-03,4.624452385285587538e-03
4.410000000000000000e+03,1.047000000000000000e+07,5.868775313223965350e+04,9.988422680609853055e-01,8.443371373118282452e-01,5.605325036508085161e-03,4.738269741242659081e-03
4.430000000000000000e+03,1.097000000000000000e+07,6.533621126256546268e+04,9.988472772483727447e-01,8.444391713174546066e-01,5.955898930042430491e-03,5.035198544857162270e-03
4.450000000000000000e+03,1.086000000000000000e+07,6.624281918942807533e+04,9.988522617809789672e-01,8.445434468620535151e-01,6.099707107682142936e-03,5.157386995736132351e-03
4.470000000000000000e+03,1.133000000000000000e+07,7.313303943358390825e+04,9.988588697066711486e-01,8.446499424790782085e-01,6.454813718762921794e-03,5.458286652515124959e-03
4.490000000000000000e+03,1.140000000000000000e+07,7.585286321417173895e+04,9.988637972370305596e-01,8.450810280882479208e-01,6.653759931067696441e-03,5.629362380289318867e-03
4.510000000000000000e+03,1.233000000000000000e+07,8.872669577562081395e+04,9.988687005611429637e-01,8.451917912544489875e-01,7.196001279450187429e-03,6.088889568600030014e-03
4.530000000000000000e+03,1.128000000000000000e+07,7.488581475885162945e+04,9.988735798118160147e-01,8.453047069348860187e-01,6.638813365146421265e-03,5.618148582003486095e-03
4.550000000000000000e+03,1.157000000000000000e+07,8.123207024688989623e+04,9.988800482598529928e-01,8.454197543837993489e-01,7.020922233957640340e-03,5.942281418995871631e-03
4.570000000000000000e+03,1.221000000000000000e+07,8.730634335686938721e+04,9.988848718511544877e-01,8.458582838781600888e-01,7.150396671324273784e-03,6.054974329770122093e-03
4.590000000000000000e+03,1.157000000000000000e+07,8.331726847867389733e+04,9.988896718059596669e-01,8.459774076613431060e-01,7.201146800231106489e-03,6.098779148686298869e-03
4.610000000000000000e+03,1.182000000000000000e+07,8.588599093811796047e+04,9.988944482536454839e-01,8.460985978995183565e-01,7.266158285796782065e-03,6.154690666743515420e-03
4.630000000000000000e+03,1.164000000000000000e+07,8.522114512508538610e+04,9.988992013228135125e-01,8.462218345342139569e-01,7.321404220368160458e-03,6.202359660035683397e-03
4.650000000000000000e+03,1.174000000000000000e+07,8.455629931205281173e+04,9.989039311412926114e-01,8.466673819831387338e-01,7.202410503582011396e-03,6.104737257434105120e-03
4.670000000000000000e+03,1.200000000000000000e+07,9.014704819437224069e+04,9.989102016176931720e-01,8.467945100405186443e-01,7.512254016197686748e-03,6.368275595387976398e-03
4.690000000000000000e+03,1.175000000000000000e+07,8.806184996258822503e+04,9.989148776773720817e-01,8.469236213239101918e-01,7.494625528730912770e-03,6.354270554081661165e-03
4.710000000000000000e+03,1.129000000000000000e+07,8.361947112096144701e+04,9.989195309069411888e-01,8.470546964308670601e-01,7.406507628074530426e-03,6.280502959848553376e-03
4.730000000000000000e+03,1.181000000000000000e+07,8.633929490154927771e+04,9.989241614309396500e-01,8.471877161108665177e-01,7.310693895135417231e-03,6.200200479016660868e-03
4.750000000000000000e+03,1.194000000000000000e+07,8.721568256418312376e+04,9.989287693731589979e-01,8.473226612636473032e-01,7.304496027151015543e-03,6.195902253169846725e-03
4.770000000000000000e+03,1.193000000000000000e+07,8.528158565354289021e+04,9.989333548566516896e-01,8.477783278979704740e-01,7.148498378335531832e-03,6.066813138936899205e-03
4.790000000000000000e+03,1.186000000000000000e+07,8.709480150726811553e+04,9.989379180037316619e-01,8.479169021684941354e-01,7.343575169246889696e-03,6.233361849746138668e-03
4.810000000000000000e+03,1.173000000000000000e+07,9.026792925128724892e+04,9.989424589359819917e-01,8.480573417339141162e-01,7.695475639495929533e-03,6.533113650169962254e-03
4.830000000000000000e+03,1.184000000000000000e+07,9.153718034889490809e+04,9.989469777742593370e-01,8.481996281073712618e-01,7.731180772710719018e-03,6.564497217715158268e-03
4.850000000000000000e+03,1.103000000000000000e+07,8.921022000328087597e+04,9.989514746386969346e-01,8.483437429440832123e-01,8.087961922328275668e-03,6.868573763764479825e-03
4.870000000000000000e+03,9.732000000000000000e+06,8.141339183226242312e+04,9.989559496487117052e-01,8.484896680398311686e-01,8.365535535579780510e-03,7.105488957801967161e-03
4.890000000000000000e+03,1.125000000000000000e+07,8.697392045035309275e+04,9.989604029230065851e-01,8.486373853294741920e-01,7.731015151142496891e-03,6.567656199996331837e-03
4.910000000000000000e+03,1.125000000000000000e+07,8.766898652761444100e+04,9.989648345795772988e-01,8.487868768854837098e-01,7.792798802454616730e-03,6.621279477286232985e-03
4.930000000000000000e+03,1.103000000000000000e+07,8.298484557215761743e+04,9.989692447357145788e-01,8.492549552809455227e-01,7.523558075444933789e-03,6.396011699645424119e-03
4.950000000000000000e+03,1.141000000000000000e+07,8.676237860075182107e+04,9.989736335080103835e-01,8.494077476544584782e-01,7.604064732756514108e-03,6.465587560092115986e-03
4.970000000000000000e+03,1.152000000000000000e+07,8.624863410886301426e+04,9.989780010123627818e-01,8.495622577867736336e-01,7.486860599727692550e-03,6.367061325067939828e-03
4.990000000000000000e+03,1.080000000000000000e+07,7.778696012481197249e+04,9.989823473639789508e-01,8.497184683133611749e-01,7.202496307852960210e-03,6.126328605195665612e-03
5.010000000000000000e+03,1.038000000000000000e+07,7.110828173025741125e+04,9.989866726773805050e-01,8.498763620001104080e-01,6.850508837211696615e-03,5.827991191129040793e-03
5.030000000000000000e+03,1.093000000000000000e+07,7.694079272640687122e+04,9.989909770664076039e-01,8.500359217419987123e-01,7.039413790156164030e-03,5.989798433625855879e-03
5.050000000000000000e+03,1.091000000000000000e+07,7.361656366124397027e+04,9.989952606442230598e-01,8.501971305617794794e-01,6.747622700388998529e-03,5.742579253363775532e-03
5.070000000000000000e+03,1.128000000000000000e+07,7.503691607999539701e+04,9.989995235233181115e-01,8.503599716086921445e-01,6.652208872340017662e-03,5.662437283120596611e-03
5.090000000000000000e+03,1.089000000000000000e+07,7.065497776682610856e+04,9.990037658155157541e-01,8.505244281571933129e-01,6.488060400994133219e-03,5.523756817773509825e-03
5.110000000000000000e+03,1.104000000000000000e+07,7.177261526665318524e+04,9.990079876319732932e-01,8.506904836057030961e-01,6.501142687196846855e-03,5.535951949363735955e-03
5.130000000000000000e+03,1.078000000000000000e+07,6.867344620486388158e+04,9.990121890831902274e-01,8.508581214753733191e-01,6.370449555182178258e-03,5.425708315381295305e-03
5.150000000000000000e+03,1.044000000000000000e+07,6.421527148433440743e+04,9.990163702790101352e-01,8.510273254088720485e-01,6.150888073212107572e-03,5.239727777807177619e-03
5.170000000000000000e+03,9.573000000000000000e+06,5.172284578376325226e+04,9.990205313286248945e-01,8.511980791691913240e-01,5.402992351798104227e-03,4.603525720837808519e-03
